Column1,꽃,월,일,계절,꽃말,설명,이미지
259,검은포플라,1,1,겨울,용기,"당신은 용기가 있어 주위 사람들도 당신을 의지하고 있습니다. 그렇다고 해서 자기만족에 빠지는 것
은 금물입니다.",https://mblogthumb-phinf.pstatic.net/MjAyMjAxMjdfMzAg/MDAxNjQzMjgzMjkyNzM3.DN_YZRU7Q0c-z5ba0di7ihWJjPQrdqbRIHI-Q7Lsrcwg.s_aTAhpYmV9BaKH8peeh8OaBd7RrpvriAoQopDssmqcg.JPEG.tjrgh4567/%EB%B8%94%EB%9E%99%ED%8F%AC%ED%92%80%EB%9D%BC1.jpg?type=w800
1,군자란,1,2,겨울,고귀,"君子蘭(군자란)은 이름 끝에 ‘란’이라고 되어있어서 난 종류일거라 생각하기도 하지만 난과는 전혀 관계없는 식물이다. 이름은 동양적지만 고향은 남아프리카이다. 잎을 주로 관상하는 관엽식물이지만 긴 꽃대 끝에 여러 송이가 함께 피는 꽃 모양이 매우 아름답다. 겨울철 꽃이 참 귀할 때인데 비록 실내이긴 하지만 꽃을 보여주니 참 고귀하다는 생각이 든다.쭉 뻗은 가죽질의 크고 싱싱한 잎이나 화려한 꽃을 감상하는 분화용으로 주로 이용된다. 최근 원예용으로 꽃 색이나 모양이 다른 것, 잎에 무늬가 들어 있거나 잎 모양이 다른 것 등 품종들이 많이 개발되어 있다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0103-3.jpg
0,나도풍란,1,3,겨울,인내,"남부지역의 바위나 나무에 붙어사는 난이다. 보통 풍란 하면 소엽풍란을 말한다. 나도풍란은 잎이 넓은 대엽풍란이다. 자연 상태에서는 6년 정도가 지나야 꽃을 피우는데, 그 향기가 진하여 취할 정도로 좋다. 꽃말은 바닷가의 바위에 붙어 모진 풍파를 이겨내며 자라기 때문에 붙여진 듯 하다.건강하게 보이는 넓고 두꺼운 잎과 연녹색으로 피는 꽃의 단아함과 더불어 뿌리의 관상가치까지 더해져 예로부터 선비들에게 사랑받아온 난이다. 주로 관상용으로 목부작, 석부작에 이용한다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0102-1.jpg
251,노랑 히야신,1,4,겨울,승부,"당신은 언제나 엄격하지 않으면 못견뎌 하는 성격입니다. 엄격히 하는 것도 시간과 경우에 따라서는 유연하게 할 필요가 있습니다.
그윽하고 은은한 향기가 매우 감미로운 히야신스, 낮보다는 밤의 분위기에 더 잘 어울리는 이 꽃은 태 양의 신 아폴로와 아름다운 소년 히야킨토스의 사랑 이야기가 전해지고 있다. 유난히 히야킨토스를 사랑한 아폴로와 날씬한 체구에 민첩한 운동신경을 가지고 있는 히야킨토스는 어느날 원반던지기 놀 이를 하고 있었다. 이를 본 바람의 신 제피로스가 두사람을 시기한 나머지 바람의 방향을 바꾸어 원반 을 히야킨토스의 이마에 맞게하고, 히야킨토스를 그 자리에서 죽게 만들어 버렸다. 슬픔에 빠진 아폴 로는 죽은 히야킨토스의 이마에서 흘러나오는 피를 손가락에 찍어 ""Ai Ai(슬프다)""라고 땅에 새겼는데 소년의 피는 어느새 꽃이 되었고 이것이 바로 히야신스라는 이야기다.",https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F99AC55485A5CC17826
240,노랑수선화,1,5,겨울,사랑에 답하여,"당신은 추진력이 강한 운명을 타고 났습니다. 따라서 아무리 불가능해 보이는 사랑도 활짝 꽃 피울 수 있는 사람입니다.
그리스에 나르키소스라는 미소년이 살고 있었다. 나르키소스는 임프들의 애달픈 구애에도 아랑곳 하 지 않았다. 그것을 못견딘 임프 하나가 복수의 여신에게 빌었다. ""교만한 나르키소스가 언젠가 참사랑 에 눈뜨게 하옵시고 그 사랑이 깨어지게 해 주옵소서"" 나르키소스를 저주한 임프의 기원은 얼마 안가 서 이루어 졌다. 나르키소스는 호수속에 비친 자신을 사랑하게 되었다. 나르키소스는 자신의 모습에 반해 호수를 떠나지 못했다. 물속만 바라보던 나르키소스는 말라서 죽고 말았다. 그후 그가 죽은 자리 에 가련하고 청초하면서도 품위있는 꽃 한송이가 피어났다. 이름하여 수선화, 또는 나르키소스라고 불린다. 미소년의 넋은 물가에서만 꽃을 피우고 있다.",https://blog.kakaocdn.net/dn/v1i65/btqRoRsgqCT/hDzVekhxCBks5ViPPkV0I1/img.jpg
247,노랑제비꽃,1,6,겨울,수줍은 사랑,"노랑제비꽃을 탄생화로 태어난 당신은 용기, 사랑, 헌신을 갖고 있으니 겁쟁이나 소심한 사람이 되어
서는 안됩니다.",https://lh3.googleusercontent.com/proxy/1A2xyTbs-PYVtlDg9WvFlaaoKNmIDkDOUynrZ-aqXGzRoITeRh6bCFV-dYHyeCbbK7G8e5KzUcrzPI2doZGSZ9hIxoAeGUvJ7CMmoCeqNTPq2naWc0283sx6X28YRZBbywCZbNoHZJqF_52ACb_a24e9GRSqKdhzQ-w
243,노루귀,1,7,겨울,인내,당신은 인내심이 강하고 아부를 싫어해 누구에게나 신뢰를 받지만 연애는 수동적인 사람입니다.,https://mblogthumb-phinf.pstatic.net/MjAxNzAyMjJfMTQy/MDAxNDg3NzQxNDA5NzYx.ZDLc6MhW60B57YLef0-a3Cu7lq_80xDsGaKj-mo2a7Mg.KNIGRb1xUlXALJ1SMWs6xbNSLiPgE5UcUF72mzi8x9og.JPEG.hope_city/%EF%BF%BD%EB%AA%83%EF%BC%88%E6%B4%B9%C2%80%28%E6%B3%A5%EF%BF%BD%EA%B9%8B5%29700.jpg?type=w800
260,매쉬매리골드,1,6,겨울,반드시 오고야말 행복,"주변 사람들이 행복해지면 자신도 역시 미소 지을 날이 옵니다. 초조해 하지 말고 차분히 기다리는 것
이 중요합니다.",https://mblogthumb-phinf.pstatic.net/MjAxNjEyMDFfM…owerss/image_9823691191480568929413.jpg?type=w800
254,미나리아재비,1,5,겨울,천진난만,"부귀에 대한 욕망이 남들보다 월등히 강한당신은 자존심이 강해 다른 사람들 속에 묻혀있는 것을 좋
아합니다.",https://upload.wikimedia.org/wikipedia/commons/a/ab/20180419Ranunculus_acris3.jpg
656,미니 방울 수선화,1,4,겨울,"자기애, 자존심, 고결","수선화는 튤립, 히아신스와 같은 대표적인 구근식물로 다양한 품종이 있으며 매력적인 향기로 사랑받습니다. 한대에 2-3개의 얼굴이 올망졸망 달린 방울수선화는 보통 꽃의 얼굴이 아래를 보고 피어나는 것이 특징입니다. 무엇보다 은은한 향기로 향수의 원료가 되기도 하는 방울 수선화는 1-3월 봄을 기다리며 꼭 경험해보았으면 하는 추천 꽃입니다.",https://file.honestflower.kr/media/images/ingredientimage/1709008637/1068_square.webp
